REF_DATE,1 to 4 weeks,5 to 13 weeks,14 to 26 weeks,27 weeks or more
1976-01-01,123.4,115.3,61.5,38.0
1976-02-01,116.1,114.9,65.4,41.8
1976-03-01,120.5,117.0,60.6,34.5
1976-04-01,118.2,113.1,64.4,33.8
1976-05-01,115.9,112.2,68.5,37.2
1976-06-01,127.8,113.1,73.9,39.9
1976-07-01,125.8,130.5,73.0,36.4
1976-08-01,120.7,119.3,69.3,35.9
1976-09-01,126.9,116.5,65.4,34.8
1976-10-01,122.3,123.2,71.6,39.7
1976-11-01,124.4,124.3,72.7,38.4
1976-12-01,129.8,124.2,71.0,45.0
1977-01-01,122.3,130.9,73.4,46.7
1977-02-01,132.0,129.1,77.6,48.0
1977-03-01,133.8,123.6,72.3,50.3
1977-04-01,135.5,131.8,72.0,48.4
1977-05-01,140.9,131.8,74.2,43.1
1977-06-01,135.0,132.7,78.3,46.1
1977-07-01,143.9,140.8,75.6,51.2
1977-08-01,143.3,134.7,90.6,54.6
1977-09-01,149.5,141.3,87.8,54.5
1977-10-01,138.5,143.6,83.6,58.6
1977-11-01,142.0,135.3,87.4,59.1
1977-12-01,141.6,131.0,86.0,54.3
1978-01-01,138.7,131.4,87.9,49.8
1978-02-01,139.6,129.5,83.8,51.4
1978-03-01,140.4,130.3,89.7,55.0
1978-04-01,141.7,126.2,86.9,56.3
1978-05-01,145.2,135.8,84.9,60.4
1978-06-01,132.3,144.6,80.3,56.0
1978-07-01,140.2,130.8,89.4,56.2
1978-08-01,145.9,140.2,83.3,54.5
1978-09-01,141.5,139.5,87.8,59.2
1978-10-01,147.2,129.6,81.5,44.0
1978-11-01,150.9,145.6,80.1,46.5
1978-12-01,152.9,147.4,80.1,46.5
1979-01-01,148.7,142.9,81.4,50.5
1979-02-01,148.6,143.1,81.6,45.5
1979-03-01,133.2,137.4,83.3,44.4
1979-04-01,149.0,129.3,83.6,49.7
1979-05-01,141.4,131.8,69.1,51.2
1979-06-01,140.8,121.8,68.0,52.3
1979-07-01,141.0,119.7,71.5,45.3
1979-08-01,148.7,122.7,57.1,43.0
1979-09-01,135.1,119.0,68.8,40.1
1979-10-01,152.6,118.0,72.4,43.1
1979-11-01,146.7,120.3,74.0,45.2
1979-12-01,139.8,127.7,70.1,46.4
1980-01-01,160.3,125.9,64.2,44.0
1980-02-01,155.8,128.9,65.0,43.6
1980-03-01,160.0,136.4,70.8,45.6
1980-04-01,153.5,139.7,75.1,41.6
1980-05-01,146.0,138.4,86.6,42.8
1980-06-01,171.0,140.3,86.0,39.8
1980-07-01,152.8,140.9,71.9,50.2
1980-08-01,144.8,139.0,79.6,47.6
1980-09-01,139.4,137.1,72.3,49.2
1980-10-01,136.2,136.6,70.1,55.4
1980-11-01,141.8,125.3,64.1,48.8
1980-12-01,147.9,128.3,75.3,42.1
1981-01-01,145.1,128.3,75.7,50.1
1981-02-01,150.7,136.1,71.5,49.4
1981-03-01,164.7,136.3,71.6,46.9
1981-04-01,138.4,132.4,67.1,47.5
1981-05-01,141.9,125.6,70.7,47.0
1981-06-01,148.0,117.0,70.6,48.1
1981-07-01,139.9,118.4,68.9,47.9
1981-08-01,140.2,109.1,69.0,54.2
1981-09-01,176.6,126.2,65.8,59.2
1981-10-01,163.5,145.8,69.8,53.5
1981-11-01,160.8,152.5,77.8,56.0
1981-12-01,169.9,145.5,76.1,63.0
1982-01-01,173.5,154.1,83.7,56.4
1982-02-01,159.5,166.6,83.6,58.9
1982-03-01,155.5,169.9,98.3,63.8
1982-04-01,166.2,163.9,110.6,68.1
1982-05-01,177.0,174.4,109.4,71.9
1982-06-01,174.1,200.1,117.9,81.7
1982-07-01,182.5,208.2,130.2,104.4
1982-08-01,168.6,206.5,141.1,113.5
1982-09-01,156.1,198.4,158.1,122.2
1982-10-01,169.1,191.1,155.2,129.9
1982-11-01,160.0,185.6,145.6,136.7
1982-12-01,165.0,179.9,151.8,139.4
1983-01-01,144.3,190.0,140.5,150.3
1983-02-01,160.5,157.7,145.7,148.6
1983-03-01,162.3,163.0,132.1,151.9
