REF_DATE,Full-time employment,Part-time employment,Participation rate,Population,Unemployment rate,Full-time (smoothed),Part-time (smoothed),Unemployment rate (smoothed)
1976-01-01,1963.8,535.9,63.2,4509.9,12.3,,,
1976-02-01,1970.8,538.3,63.2,4518.2,12.2,1972.5333333333335,538.1,12.133333333333333
1976-03-01,1983.0,540.1,63.3,4525.8,11.9,1982.6666666666667,540.0,12.0
1976-04-01,1994.2,541.6,63.5,4533.4,11.9,1994.0333333333335,538.7666666666667,11.966666666666667
1976-05-01,2004.9,534.6,63.6,4541.1,12.1,1999.3333333333333,541.6333333333333,12.066666666666668
1976-06-01,1998.9,548.7,63.8,4548.7,12.2,2000.2,540.3000000000001,12.5
1976-07-01,1996.8,537.6,64.1,4556.3,13.2,2004.3333333333333,538.4333333333334,12.566666666666665
1976-08-01,2017.3,529.0,63.6,4564.1,12.3,2016.3666666666668,526.9,12.5
1976-09-01,2035.0,514.1,63.4,4569.6,12.0,2021.3333333333333,523.1999999999999,12.299999999999999
1976-10-01,2011.7,526.5,63.5,4574.8,12.6,2018.5333333333335,527.1333333333333,12.433333333333332
1976-11-01,2008.9,540.8,63.8,4579.5,12.7,2021.1666666666667,530.0,12.766666666666666
1976-12-01,2042.9,522.7,64.3,4583.8,13.0,2030.2,535.1999999999999,12.866666666666667
1977-01-01,2038.8,542.1,64.5,4588.8,12.9,2034.3666666666668,538.4333333333334,13.133333333333333
1977-02-01,2021.4,550.5,64.7,4593.5,13.5,2026.7,546.2333333333333,13.200000000000001
1977-03-01,2019.9,546.1,64.3,4597.3,13.2,2021.3999999999999,549.7333333333332,13.4
1977-04-01,2022.9,552.6,64.7,4602.1,13.5,2019.2333333333336,551.6999999999999,13.366666666666667
1977-05-01,2014.9,556.4,64.4,4607.6,13.4,2015.8666666666668,554.9666666666667,13.433333333333332
1977-06-01,2009.8,555.9,64.2,4611.7,13.4,2011.6666666666667,555.8333333333334,13.733333333333334
1977-07-01,2010.3,555.2,64.8,4621.9,14.4,2008.3666666666666,561.1333333333333,14.033333333333333
1977-08-01,2005.0,572.3,65.0,4627.7,14.3,2002.2666666666667,567.0666666666666,14.433333333333335
1977-09-01,1991.5,573.7,64.8,4632.3,14.6,1998.4333333333332,573.0,14.5
1977-10-01,1998.8,573.0,64.9,4636.2,14.6,1999.9333333333332,571.6999999999999,14.533333333333333
1977-11-01,2009.5,568.4,64.9,4640.3,14.4,2003.6333333333332,572.7333333333333,14.399999999999999
1977-12-01,2002.6,576.8,64.7,4643.9,14.2,2007.4333333333334,569.8333333333333,14.200000000000001
1978-01-01,2010.2,564.3,64.4,4648.5,14.0,2014.9666666666665,570.3,14.0
1978-02-01,2032.1,569.8,64.9,4652.8,13.8,2025.9333333333334,569.2333333333332,14.0
1978-03-01,2035.5,573.6,65.3,4656.2,14.2,2031.0666666666666,575.4333333333333,14.066666666666665
1978-04-01,2025.6,582.9,65.3,4660.0,14.2,2031.533333333333,576.9666666666667,14.266666666666666
1978-05-01,2033.5,574.4,65.3,4664.7,14.4,2033.0666666666666,581.5,14.233333333333333
1978-06-01,2040.1,587.2,65.5,4667.6,14.1,2034.3999999999999,594.1666666666666,14.166666666666666
1978-07-01,2029.6,620.9,65.9,4677.1,14.0,2040.9666666666665,603.6666666666666,14.033333333333333
1978-08-01,2053.2,602.9,66.0,4680.8,14.0,2055.066666666666,597.1666666666666,14.033333333333331
1978-09-01,2082.4,567.7,65.9,4683.9,14.1,2082.133333333333,579.9666666666667,13.866666666666665
1978-10-01,2110.8,569.3,66.1,4686.7,13.5,2100.2333333333336,570.5666666666666,13.866666666666665
1978-11-01,2107.5,574.7,66.5,4689.4,14.0,2108.366666666667,576.4000000000001,13.833333333333334
1978-12-01,2106.8,585.2,66.7,4692.0,14.0,2102.0,591.8666666666667,13.933333333333332
1979-01-01,2091.7,615.7,66.9,4694.9,13.8,2102.3333333333335,598.4333333333334,13.866666666666667
1979-02-01,2108.5,594.4,66.8,4697.5,13.8,2106.9,605.6666666666666,13.6
1979-03-01,2120.5,606.9,66.9,4699.8,13.2,2116.2666666666664,604.3000000000001,13.533333333333333
1979-04-01,2119.8,611.6,67.3,4702.7,13.6,2120.1666666666665,617.2666666666667,13.233333333333334
1979-05-01,2120.2,633.3,67.2,4704.9,12.9,2125.1,624.2666666666668,13.033333333333333
1979-06-01,2135.3,627.9,67.1,4707.2,12.6,2131.066666666667,634.5333333333333,12.6
1979-07-01,2137.7,642.4,67.2,4716.8,12.3,2142.133333333333,639.6666666666666,12.266666666666666
1979-08-01,2153.4,648.7,67.4,4719.3,11.9,2148.1333333333337,652.0333333333333,12.0
1979-09-01,2153.3,665.0,67.7,4721.7,11.8,2158.6000000000004,661.4333333333334,11.933333333333335
1979-10-01,2169.1,670.6,68.4,4725.3,12.1,2162.566666666667,669.1999999999999,12.033333333333333
1979-11-01,2165.3,672.0,68.3,4727.9,12.2,2169.1,670.8666666666667,12.166666666666666
1979-12-01,2172.9,670.0,68.4,4730.4,12.2,2172.166666666667,666.3666666666667,12.299999999999999
1980-01-01,2178.3,657.1,68.5,4732.6,12.5,2177.2333333333336,662.0333333333333,12.366666666666667
1980-02-01,2180.5,659.0,68.4,4734.8,12.4,2176.2000000000003,657.8666666666667,12.633333333333333
1980-03-01,2169.8,657.5,68.6,4736.6,13.0,2173.4666666666667,660.5,12.799999999999999
1980-04-01,2170.1,665.0,68.8,4738.4,13.0,2165.066666666667,656.5333333333333,13.066666666666668
1980-05-01,2155.3,647.1,68.1,4740.4,13.2,2163.3333333333335,658.3666666666667,13.233333333333334
1980-06-01,2164.6,663.0,69.0,4742.8,13.5,2155.2999999999997,655.7666666666668,13.333333333333334
1980-07-01,2146.0,657.2,68.1,4751.3,13.3,2151.7333333333336,663.1666666666666,13.299999999999999
1980-08-01,2144.6,669.3,68.1,4752.2,13.1,2152.6,671.7,12.966666666666667
1980-09-01,2167.2,688.6,68.7,4753.3,12.5,2158.2666666666664,682.1666666666666,12.700000000000001
1980-10-01,2163.0,688.6,68.6,4753.8,12.5,2165.7,690.7666666666668,12.333333333333334
1980-11-01,2166.9,695.1,68.5,4753.9,12.0,2172.733333333333,683.3000000000001,12.299999999999999
1980-12-01,2188.3,666.2,68.6,4753.7,12.4,2180.7000000000003,687.5,12.266666666666666
1981-01-01,2186.9,701.2,69.4,4752.7,12.4,2186.5333333333333,694.7666666666668,12.433333333333332
1981-02-01,2184.4,716.9,69.8,4751.2,12.5,2176.6,713.7333333333332,12.533333333333333
1981-03-01,2158.5,723.1,69.5,4750.0,12.7,2172.8333333333335,719.9333333333334,12.433333333333332
1981-04-01,2175.6,719.8,69.3,4748.4,12.1,2169.5,726.2999999999998,12.333333333333334
1981-05-01,2174.4,736.0,69.8,4746.8,12.2,2185.366666666667,722.5,12.166666666666666
1981-06-01,2206.1,711.7,70.0,4744.6,12.2,2200.1,706.5,12.1
1981-07-01,2219.8,671.8,69.1,4749.4,11.9,2203.2000000000003,691.1,11.933333333333332
1981-08-01,2183.7,689.8,68.5,4745.4,11.7,2170.5333333333333,697.6333333333332,12.466666666666667
1981-09-01,2108.1,731.3,69.5,4739.4,13.8,2126.2999999999997,714.1666666666666,13.066666666666668
1981-10-01,2087.1,721.4,68.7,4734.7,13.7,2086.1666666666665,725.6999999999999,13.899999999999999
1981-11-01,2063.3,724.4,68.7,4729.6,14.2,2061.7999999999997,726.6666666666666,14.066666666666668
1981-12-01,2035.0,734.2,68.4,4724.3,14.3,2035.6999999999998,726.9666666666666,14.433333333333332
1982-01-01,2008.8,722.3,68.0,4717.0,14.8,2009.6000000000001,726.4333333333334,14.733333333333334
1982-02-01,1985.0,722.8,67.7,4709.1,15.1,1985.2666666666667,722.6333333333332,15.166666666666666
1982-03-01,1962.0,722.8,67.7,4703.1,15.6,1958.0666666666666,727.1999999999999,15.700000000000001
1982-04-01,1927.2,736.0,67.8,4697.0,16.4,1928.0666666666666,726.3333333333334,16.400000000000002
1982-05-01,1895.0,720.2,67.3,4691.0,17.2,1884.1666666666667,732.3666666666667,17.3
1982-06-01,1830.3,740.9,67.2,4683.2,18.3,1833.1333333333332,740.5666666666666,18.5
1982-07-01,1774.1,760.6,67.6,4686.3,20.0,1779.2333333333333,759.2666666666668,19.433333333333334
1982-08-01,1733.3,776.3,67.1,4678.7,20.0,1767.1666666666667,751.0999999999999,20.066666666666666
1982-09-01,1794.1,716.4,67.3,4672.3,20.2,1769.5,737.8333333333334,20.3
1982-10-01,1781.1,720.8,67.6,4665.9,20.7,1786.5999999999997,715.6333333333333,20.400000000000002
1982-11-01,1784.6,709.7,67.1,4659.3,20.3,1777.0999999999997,718.7999999999998,20.53333333333333
1982-12-01,1765.6,725.9,67.4,4652.6,20.6,1766.0666666666666,728.3000000000001,20.3
