REF_DATE,GEO,DGUID,Labour force characteristics,Gender,Age group,Statistics,Data type,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1976-01,Canada,2021A000011124,Population,Total - Gender,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062809,1.1.1.1.1.1,16852.4,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,15 years and over,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v2064888,1.1.1.1.1.2,16852.4,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,15 to 64 years,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v21580997,1.1.1.8.1.1,15015.9,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,15 to 64 years,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v21580998,1.1.1.8.1.2,15015.9,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,15 to 24 years,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062836,1.1.1.2.1.1,4509.9,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,15 to 24 years,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v2064915,1.1.1.2.1.2,4509.9,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,15 to 19 years,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062863,1.1.1.3.1.1,2330.0,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,15 to 19 years,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v2064942,1.1.1.3.1.2,2330.0,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,20 to 24 years,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062890,1.1.1.4.1.1,2179.8,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,20 to 24 years,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v2064969,1.1.1.4.1.2,2179.8,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,25 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062917,1.1.1.5.1.1,12342.5,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,25 years and over,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v2064996,1.1.1.5.1.2,12342.5,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,25 to 54 years,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062944,1.1.1.6.1.1,8619.1,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,25 to 54 years,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v2065023,1.1.1.6.1.2,8619.1,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,55 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062971,1.1.1.7.1.1,3723.4,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,55 years and over,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v2065050,1.1.1.7.1.2,3723.4,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,55 to 64 years,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v101884802,1.1.1.9.1.1,1886.9,,,,1
1976-01,Canada,2021A000011124,Population,Total - Gender,55 to 64 years,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v101884803,1.1.1.9.1.2,1886.9,,,,1
1976-01,Canada,2021A000011124,Population,Men+,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062818,1.1.2.1.1.1,8334.7,,,,1
1976-01,Canada,2021A000011124,Population,Men+,15 years and over,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v2064897,1.1.2.1.1.2,8334.7,,,,1
1976-01,Canada,2021A000011124,Population,Men+,15 to 64 years,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v21580999,1.1.2.8.1.1,7513.0,,,,1
1976-01,Canada,2021A000011124,Population,Men+,15 to 64 years,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v21581000,1.1.2.8.1.2,7513.0,,,,1
1976-01,Canada,2021A000011124,Population,Men+,15 to 24 years,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062845,1.1.2.2.1.1,2273.5,,,,1
1976-01,Canada,2021A000011124,Population,Men+,15 to 24 years,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v2064924,1.1.2.2.1.2,2273.5,,,,1
1976-01,Canada,2021A000011124,Population,Men+,15 to 19 years,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062872,1.1.2.3.1.1,1183.6,,,,1
1976-01,Canada,2021A000011124,Population,Men+,15 to 19 years,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v2064951,1.1.2.3.1.2,1183.6,,,,1
1976-01,Canada,2021A000011124,Population,Men+,20 to 24 years,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062899,1.1.2.4.1.1,1089.9,,,,1
1976-01,Canada,2021A000011124,Population,Men+,20 to 24 years,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v2064978,1.1.2.4.1.2,1089.9,,,,1
1976-01,Canada,2021A000011124,Population,Men+,25 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062926,1.1.2.5.1.1,6061.2,,,,1
1976-01,Canada,2021A000011124,Population,Men+,25 years and over,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v2065005,1.1.2.5.1.2,6061.2,,,,1
1976-01,Canada,2021A000011124,Population,Men+,25 to 54 years,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062953,1.1.2.6.1.1,4325.5,,,,1
1976-01,Canada,2021A000011124,Population,Men+,25 to 54 years,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v2065032,1.1.2.6.1.2,4325.5,,,,1
1976-01,Canada,2021A000011124,Population,Men+,55 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062980,1.1.2.7.1.1,1735.7,,,,1
1976-01,Canada,2021A000011124,Population,Men+,55 years and over,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v2065059,1.1.2.7.1.2,1735.7,,,,1
1976-01,Canada,2021A000011124,Population,Men+,55 to 64 years,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v101884804,1.1.2.9.1.1,914.0,,,,1
1976-01,Canada,2021A000011124,Population,Men+,55 to 64 years,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v101884805,1.1.2.9.1.2,914.0,,,,1
1976-01,Canada,2021A000011124,Population,Women+,15 years and over,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062827,1.1.3.1.1.1,8517.7,,,,1
1976-01,Canada,2021A000011124,Population,Women+,15 years and over,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v2064906,1.1.3.1.1.2,8517.7,,,,1
1976-01,Canada,2021A000011124,Population,Women+,15 to 64 years,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v21581001,1.1.3.8.1.1,7502.9,,,,1
1976-01,Canada,2021A000011124,Population,Women+,15 to 64 years,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v21581002,1.1.3.8.1.2,7502.9,,,,1
1976-01,Canada,2021A000011124,Population,Women+,15 to 24 years,Estimate,Seasonally adjusted,Persons in thousands,428,thousands,3,v2062854,1.1.3.2.1.1,2236.4,,,,1
1976-01,Canada,2021A000011124,Population,Women+,15 to 24 years,Estimate,Unadjusted,Persons in thousands,428,thousands,3,v2064933,1.1.3.2.1.2,2236.4,,,,1
